imdbrating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,release_date,duration,genre,nationality,nber_press_vote,nber_user_vote,press_rating,allorating,genre_1,nationality_1,diff,title,year,imdbID
5.5,33011.0,Fighting,Fighting,2009,105,"Action,Crime,Drama",2009-06-24,1h 45min,"Action, Drama",américain,8.0,729.0,2.8,4.8,Action,américain,0.7000000000000002,,,
3.5,591.0,Peshmerga,Peshmerga,2016,92,"Documentary,War",2016-06-08,1h 32min,Documentary,français,12.0,43.0,2.5,6.4,Documentary,français,2.9000000000000004,,,
4.4,46.0,Pseudonym,Pseudonym,2014,74,"Drama,Horror,Thriller",2016-03-09,1h 14min,Thriller,français,6.0,56.0,1.7,7.2,Thriller,français,2.8,,,
6.9,80.0,Gabrielle,Gabrielle,1954,90,Drama,2005-09-28,1h 30min,Drama,"français, italien, allemand",26.0,190.0,3.4,4.4,Drama,français,2.5,,,
6.2,2016.0,Gabrielle,Gabrielle,2005,90,"Drama,Romance",2005-09-28,1h 30min,Drama,"français, italien, allemand",26.0,190.0,3.4,4.4,Drama,français,1.7999999999999998,,,
6.8,4993.0,Golden Door,Nuovomondo,2006,118,"Drama,History,Romance",2007-03-21,1h 58min,Drama,"français, italien",22.0,581.0,3.5,4.4,Drama,français,2.3999999999999995,,,
6.8,4993.0,Golden Door,Nuovomondo,2006,118,"Drama,History,Romance",2007-03-21,1h 58min,Drama,"français, italien",22.0,581.0,3.5,4.4,Drama,français,2.3999999999999995,,,
6.8,4993.0,Golden Door,Nuovomondo,2006,118,"Drama,History,Romance",2007-03-21,1h 58min,Drama,"français, italien",22.0,581.0,3.5,4.4,Drama,français,2.3999999999999995,,,
6.8,4993.0,Golden Door,Nuovomondo,2006,118,"Drama,History,Romance",2007-03-21,1h 58min,Drama,"français, italien",22.0,581.0,3.5,4.4,Drama,français,2.3999999999999995,,,
6.1,12152.0,Yamakasi,Yamakasi - Les samouraïs des temps modernes,2001,90,"Action,Crime,Drama",2001-04-04,1h 30min,"Comedy, Action",français,14.0,7779.0,3.0,3.8,Comedy,français,2.3,,,
5.2,864.0,Quasimodo d'El Paris,Quasimodo d'El Paris,1999,100,"Comedy,Crime",1999-03-24,1h 40min,Comedy,français,14.0,1834.0,3.2,3.0,Comedy,français,2.2,,,
5.8,113.0,House of Time,House of Time,2015,86,"Comedy,Mystery,Sci-Fi",2016-01-13,1h 26min,"Fantasie movie, Thriller",français,11.0,77.0,2.4,8.0,Fantasie movie,français,2.2,,,
4.1,27.0,Mateo Falcone,Mateo Falcone,2009,65,Drama,2014-11-26,1h 05min,Drama,français,11.0,4.0,3.4,6.2,Drama,français,2.1000000000000005,,,
6.1,106.0,Hope,Hope,2016,91,"Drama,Romance",2015-01-28,1h 31min,Drama,français,17.0,234.0,3.8,8.2,Drama,français,2.0999999999999996,,,
4.5,145.0,Little Gay Boy,Little Gay Boy,2013,72,Drama,2015-10-28,1h 12min,Drama,français,3.0,6.0,3.3,6.6,Drama,français,2.0999999999999996,,,
7.3,1199.0,Dark Horse,Dark Horse,2015,85,"Documentary,Drama",2012-08-29,1h 25min,Drama,américain,22.0,125.0,3.1,4.6,Drama,américain,2.7,,,
6.3,234116.0,Paranormal Activity,Paranormal Activity,2007,86,"Horror,Mystery",2009-12-02,1h 26min,"Horror movie, Thriller",américain,29.0,9062.0,2.7,3.8,Horror movie,américain,2.5,,,
5.4,41443.0,Stone,Stone,2010,105,"Drama,Thriller",2011-05-11,1h 45min,"Drama, Thriller",américain,13.0,1486.0,1.8,3.0,Drama,américain,2.4000000000000004,,,
6.2,36252.0,Birth,Birth,2004,100,"Drama,Fantasy,Mystery",2004-11-03,1h 40min,"Drama, Romance, Thriller","américain, allemand, britannique",16.0,1066.0,3.5,3.8,Drama,américain,2.4000000000000004,,,
5.8,43671.0,Nine,Nine,2009,118,"Drama,Musical,Romance",2010-03-03,1h 58min,Comedy musicale,américain,25.0,2100.0,1.8,3.4,Comedy musicale,américain,2.4,,,
6.5,8075.0,Bubble,Bubble,2005,73,"Crime,Drama,Mystery",2006-05-10,1h 13min,"Drama, Thriller",américain,26.0,450.0,3.7,4.6,Drama,américain,1.9000000000000004,,,
5.7,290.0,Supernova,Supernova,2014,90,Drama,2000-09-06,1h 30min,"Fantasie movie, Science fiction, Thriller","américain, suisse",11.0,168.0,2.4,3.8,Fantasie movie,américain,1.9000000000000004,,,
