Adam|,|[-2.0894433856010437, -3.214242786169052, -2.4680016934871674, 0.7210964858531952, -2.952417939901352, -7.263041585683823, -5.321923702955246, -5.169330924749374, -6.064373016357422, -4.968709379434586, -4.761275917291641, -2.4037086069583893, -1.7573084235191345, -6.799756437540054, -6.2890812158584595, -3.578638106584549, -2.8274511992931366, -5.915063351392746, -1.540013998746872, -6.801928877830505, -6.428420811891556, -8.85524594783783, -5.297689914703369, -5.4812740832567215, -5.801328629255295, -5.319684654474258, -5.856638252735138, -2.547872841358185, -2.642183154821396, -3.7683083713054657, -4.008264541625977, -5.56625497341156, -2.7535772621631622, -3.918920785188675, -3.6165758967399597, -4.720380514860153, -1.8021385073661804, -1.0024917423725128, -1.767379254102707, -7.680470556020737, -5.4270656406879425, -8.098061680793762, -6.489493519067764, -6.730630785226822, -6.17886421084404, -5.08275243639946, -6.175491213798523, -7.43693545460701, -6.258944630622864, -2.2029809653759003, -0.19894726709535085]
Americano|,|[0.3911823332309723, -3.1229186952114105, -1.5112801790237427, -1.5936190485954285, -1.7502969801425934, -0.646531268954277, -2.27969291806221, -0.7079872190952301, -2.4948059618473053, -2.6228303611278534, -3.3237845599651337, -1.5088952481746674, -1.825611025094986, -0.29791340231895447, -2.435309261083603, -0.957324743270874, -2.2614477276802063, -3.5175521075725555, -0.048538416624069214, -2.4321163296699524, -0.9537028074264526, -0.5389664471149445, -4.255186378955841, -1.9271405041217804, -1.1682559251785278, -3.353230357170105, -2.6326380372047424, -3.2008262872695923, -3.7891484797000885, -1.6143582165241241, 0.1365431547164917, -3.428155094385147, -3.2895982563495636, -0.7520457208156586, -1.0021441876888275, -3.8175166249275208, -2.5492758452892303, -0.6281973421573639, -1.5077631175518036, -0.4824541360139847, -3.6642163395881653, -1.7436257600784302, -3.07224240899086, -3.9543111622333527, -3.878083974123001, -4.405227988958359, -2.3383991718292236, -3.8630711138248444, -0.8513176143169403, 1.0452446341514587, -0.2048531692624092]
Another Happy Day|,|[-8.019927024841309, -4.081346482038498, -4.032227665185928, -4.8518350422382355, -8.52139887213707, -5.703631788492203, -8.028883039951324, -6.605083018541336, -8.073217779397964, -4.578094661235809, -7.846302360296249, -6.357407242059708, -0.23859471082687378, -7.641589939594269, -4.350368112325668, -5.265404492616653, -5.003242656588554, -6.687694162130356, -6.6033240258693695, -6.859237790107727, -8.044513583183289, -5.002689987421036, -8.294447287917137, -7.84949791431427, -7.149892359972, -8.217207878828049, -4.152823239564896, -8.968165844678879, -9.08501923084259, -7.117321997880936, -7.386415332555771, -8.179638594388962, -6.226981937885284, -9.237872511148453, -3.8352076709270477, -6.36663693189621, -6.854155510663986, -7.015241414308548, -3.7424824833869934, -2.6197758615016937, -3.0430510193109512, -9.434132397174835, -9.765230059623718, -3.8438537418842316, -8.153427064418793, -7.200221627950668, -8.509955316781998, -0.3171519339084625, -3.803916275501251, -0.22070460177004722]
Birth|,|[-3.414653241634369, -5.321567684412003, -0.3871077597141266, -1.0982718467712402, -0.3787311613559723, -1.776800513267517, -0.1304478943347931, -1.1890652477741241, -5.179173678159714, -2.897169291973114, -4.58464989066124, -3.656785398721695, -3.8022274374961853, -2.0286293625831604, -1.7480005025863647, -4.921100705862045, -3.991579294204712, -3.428237706422806, -3.3402259349823, -3.502305120229721, -4.347113758325577, -4.913765966892242, -3.4755102694034576, -1.2962163090705872, -1.6264854669570923, -3.6263610422611237, -2.636779934167862, -2.5145480632781982, -2.9638451039791107, -4.186986893415451, -4.687284678220749, -2.470136284828186, -0.9785824418067932, -1.5086307227611542, -2.764173299074173, -0.9508177936077118, -4.0450771152973175, -3.445197582244873, -1.4485339224338531, -0.32694458961486816, -4.078703582286835, -2.16084286570549, -4.06320732831955, -3.612775444984436, -2.0116716623306274, -1.7897071242332458, -3.5127868354320526, 0.47911424934864044, 2.0449298918247223, 0.3220587968826294, -0.1972154158780851]
Bubble|,|[-6.2823271453380585, -2.305943787097931, -5.915173590183258, -4.983230113983154, -2.2148620188236237, -1.9152604639530182, -4.93543204665184, -3.580902010202408, -3.2155904471874237, -4.060013800859451, -5.392376333475113, -3.695455491542816, -2.7090967297554016, -1.5618574023246765, -2.6227758824825287, -3.9336416721343994, -3.2195466458797455, 0.9508308470249176, -5.736787021160126, -0.8626075685024261, -2.8533327877521515, -2.4793242812156677, -1.8466294407844543, -1.5615885853767395, -2.704951196908951, -0.9690314531326294, -3.9775668382644653, -5.301674485206604, -4.106472581624985, -6.460105895996094, -3.691066324710846, -2.896212637424469, -3.122437432408333, -6.739435136318207, -6.933915346860886, -6.308746248483658, -4.172006517648697, -6.311914384365082, -3.7961096465587616, -5.029722064733505, -5.273716151714325, -2.296444460749626, -3.6685290932655334, -2.3121964931488037, -4.927415311336517, -3.3759617805480957, -3.750982016324997, -2.7815519869327545, -3.1672109067440033, -6.488058522343636, -0.19369458608821896]
Camping|,|[-5.225239425897598, -0.7201021611690521, -3.931959182024002, -9.155875280499458, -7.978650093078613, -2.4970698952674866, -10.530572965741158, -4.123384416103363, -4.143601685762405, -7.428811624646187, -4.274591952562332, -5.359301745891571, -6.127090871334076, -2.5726732909679413, -8.466177627444267, -6.070251494646072, -8.271810948848724, -7.522242248058319, -2.471471607685089, -9.631387740373611, -8.309108883142471, -5.337276786565781, -5.864960536360741, -8.377761751413345, -8.720336496829987, -5.974518030881882, -4.959178790450096, -7.778904497623444, -7.497095584869385, -8.258527904748917, -5.680663034319878, -6.164394855499268, -10.742156445980072, -9.590157210826874, -8.966242671012878, -3.3445534110069275, -4.223061189055443, -3.4487830698490143, -7.988224655389786, -6.071465492248535, -8.605810016393661, -5.32076495885849, -5.602419003844261, -9.86749592423439, -9.711328148841858, -6.150822013616562, -8.331174030900002, -7.057741045951843, -3.502145007252693, -0.207945937021563]
Carancho|,|[-7.257411390542984, -7.998476475477219, -7.538266837596893, -5.730410546064377, -6.2786445915699005, -4.407557010650635, -6.649774432182312, -5.690694332122803, -7.700215429067612, -9.727034240961075, -4.658202067017555, -7.4001638144254684, -7.32950484752655, -4.951255112886429, -2.7763462364673615, -5.167729675769806, -8.450229227542877, -6.016061365604401, -6.291120767593384, -6.114786446094513, -7.020267218351364, -8.584080845117569, -6.299874514341354, -8.809640258550644, -5.794839799404144, -6.6944732666015625, -4.76020060479641, -6.258484244346619, -6.368952661752701, -10.761800587177277, -8.149505287408829, -8.735796183347702, -6.7303560972213745, -6.3666732013225555, -4.240965008735657, -9.234186261892319, -8.523039877414703, -5.7707339227199554, -3.094138979911804, -4.437314122915268, -8.306524261832237, -8.92646837234497, -6.617020174860954, -9.643344521522522, -5.537201374769211, -3.1992333829402924, -6.640674859285355, -7.83919358253479, -8.21036946773529, -8.680185496807098, -0.2468048309884221]
Dark Places|,|[-6.789047300815582, -5.2514868080616, -6.136892735958099, -1.9508549720048904, -5.288730829954147, -7.088476717472076, -8.186477661132812, -7.9346877336502075, -6.013131618499756, -6.508207023143768, -7.266330763697624, -6.670944035053253, -3.0519065856933594, -6.387190818786621, -6.960211455821991, -6.757164627313614, -2.5796875655651093, -8.953513771295547, -7.002961337566376, -10.102478206157684, -6.769661024212837, -6.485114514827728, -4.768853202462196, -4.868246361613274, -3.8200460970401764, -7.016896188259125, -9.127778366208076, -7.209728419780731, -6.799611747264862, -9.106491953134537, -9.332466125488281, -6.1261917650699615, -9.52495789527893, -9.30508902668953, -7.309789150953293, -2.9994122982025146, -7.134992688894272, -6.409186661243439, -8.13625767827034, -7.883969277143478, -9.188807249069214, -4.913563221693039, -4.882172986865044, -6.21901598572731, -8.037943243980408, -6.624204769730568, -0.3643748462200165, -2.902409106492996, -5.667822435498238, -0.23638880004113663]
Fighting|,|[-6.865947738289833, -11.35274013876915, -13.152010291814804, -10.376264452934265, -10.617896065115929, -2.5185973942279816, -9.630843341350555, -6.653686493635178, -10.531182914972305, -8.151936292648315, -9.58411192893982, -10.271104753017426, -6.635464578866959, -6.3893818855285645, -7.90623065829277, -6.1747433096170425, -6.662432998418808, -4.7858268320560455, -7.7397299855947495, -6.162838906049728, -7.6666659861803055, -8.275001674890518, -8.232277423143387, -3.40815669298172, -7.091066777706146, -11.278859436511993, -9.820819586515427, -10.051066607236862, -8.60678979754448, -7.766158014535904, -8.520473569631577, -6.593442320823669, -7.683061450719833, -10.92136000096798, -9.855720162391663, -10.438059076666832, -3.561070904135704, -7.566585272550583, -9.149316966533661, -10.164984941482544, -6.686073079705238, -7.071781158447266, -7.858208775520325, -7.850995689630508, -8.664884865283966, -9.758951783180237, -9.802733570337296, -11.35416379570961, -4.717796057462692, -0.225030461933241]
Gabrielle|,|[1.503513976931572, 0.042388707399368286, -2.476947233080864, -0.3989478051662445, -3.6152363717556, -4.219618588685989, -3.875444918870926, -3.550266981124878, -3.3225556313991547, -4.546173810958862, -2.8142800331115723, -4.5027614533901215, -4.849281042814255, -0.27257490158081055, -2.298180431127548, -1.4204362630844116, -5.550285786390305, -3.8606768250465393, -3.621063679456711, -4.370068669319153, -3.7301888167858124, -2.7896992564201355, -2.35141459107399, -3.5100616961717606, -2.1544159948825836, -2.1820457130670547, -3.0790091454982758, -2.8064261972904205, -4.03957000374794, -3.546002209186554, -2.6629370152950287, -4.561178296804428, -2.9808015525341034, -2.8698811531066895, -2.358193963766098, -1.5320540964603424, -5.518513888120651, -2.48117333650589, 1.2734852135181427, -3.7923114895820618, -2.704905778169632, -1.5993923842906952, 0.0565965473651886, -2.057042956352234, -3.525514096021652, -4.023071706295013, -3.0847525894641876, -3.701779007911682, -0.8761822283267975, -2.6912730038166046, -3.857675462961197, -0.19966150501535998]
