Adam|,|[4.918949455022812, 1.8060650825500488, 2.163813352584839, 2.1147715747356415, 2.5840274691581726, -1.5067862570285797, 5.3196083307266235, -0.13037285208702087, 0.3542625904083252, -0.3975406289100647, -0.3983071744441986, 0.9140175431966782, 0.8737682700157166, 0.04158511757850647, -3.1055230796337128, -0.9325034916400909, 0.20833876729011536, 0.8391520380973816, 2.0904347896575928, -2.4079228341579437, -3.011444926261902, -4.344523012638092, 0.8518649935722351, -1.9514437019824982, -1.3081226646900177, -1.0435668230056763, 1.787707358598709, 3.2036255300045013, -0.7515988945960999, 0.4298992156982422, 0.27665887773036957, 1.3391436636447906, 2.5950058847665787, 0.5540090799331665, -1.069958209991455, -3.898840308189392, 1.0456375181674957, 0.4276638329029083, 3.853711247444153, -3.6851043701171875, -1.704110711812973, -7.604564428329468, -2.0962324142456055, -5.771266803145409, -1.2667712271213531, -0.6238048523664474, -7.440165758132935, -3.0023648142814636, -1.7704572081565857, 1.9390523135662079, -0.01614034848869979]
Americano|,|[-1.5376160144805908, -0.6198882758617401, 0.908240407705307, 1.8019123673439026, 0.1650598645210266, 0.713748961687088, 0.10119614005088806, -0.00498548150062561, 0.16137996315956116, -0.7503622770309448, -0.6326153874397278, -0.8736108839511871, 2.0444819033145905, 2.2487946450710297, 1.6216765940189362, 1.0302412509918213, -2.073960453271866, 0.14454904198646545, 0.358036071062088, -0.05557107925415039, -0.13892590999603271, 1.0292205214500427, -3.28782457113266, -1.4707370400428772, -1.8851195871829987, -2.866350829601288, -2.652029365301132, -1.300111711025238, -0.9413120150566101, -1.0318177938461304, 1.7250412702560425, -0.9529392719268799, -1.0604461431503296, 1.3791686594486237, 0.6748030483722687, -1.932532787322998, -0.2711544334888458, 1.3603506982326508, 1.8817094564437866, 0.8749556094408035, -0.08711203932762146, -2.3044799119234085, 1.8912871778011322, -3.1317036151885986, -1.550355464220047, -2.453447788953781, -2.3492263853549957, -1.7094435393810272, 0.16186976432800293, 1.3928788006305695, -0.03251015567779541]
Another Happy Day|,|[-3.6476557850837708, 2.4683473706245422, -0.856653094291687, -1.699463576078415, 0.02000412344932556, -5.378820151090622, -1.5074597001075745, -1.9164955914020538, -1.3824815452098846, 3.216011792421341, -1.9225300252437592, -1.846778392791748, 2.1982847154140472, -3.2314078509807587, -2.3850289583206177, -3.732441693544388, -2.178756147623062, -0.9705274999141693, -0.7639313638210297, -8.362389907240868, -4.906362742185593, -1.3217028081417084, -5.448114722967148, -3.0429338812828064, -1.8519558310508728, -6.05604213476181, 1.363468497991562, -4.839120835065842, -1.820547491312027, -5.0174897611141205, 0.4450250715017319, -4.936336874961853, -3.8396849930286407, -2.8166052997112274, 2.9247177839279175, 1.4190975576639175, -5.710804775357246, -3.9050243496894836, -1.9995597302913666, 2.6827913373708725, -1.5595046877861023, -8.459988623857498, -10.326078712940216, -4.569994583725929, 1.0267564356327057, -3.390275940299034, -3.7687312364578247, 3.8729352355003357, 2.831157386302948, -0.07641249749173089]
Birth|,|[-3.062780201435089, -0.636401891708374, 2.4796315729618073, 2.0381605327129364, 1.0459428876638412, 0.8291710913181305, 2.2234369218349457, 1.6699567437171936, -2.5766917765140533, -0.26351770758628845, -3.7559289038181305, -0.7085613906383514, -1.2419283986091614, -1.0817465782165527, -2.2783786058425903, -1.8127289414405823, -2.300167828798294, -0.04685729742050171, -0.3079730272293091, -1.8097672164440155, -3.0675127804279327, -1.746538981795311, 1.0622945576906204, 0.777625322341919, 0.19311805069446564, -1.850152924656868, 0.471052348613739, -1.6145468652248383, 0.40307751297950745, -2.009547859430313, -2.873170256614685, -0.8948377370834351, -0.585174560546875, -1.24183189868927, -1.5056414008140564, -0.49704208970069885, -1.2409143149852753, -1.2512924075126648, -0.06956920027732849, 1.6866287887096405, -2.0269215404987335, -1.799922376871109, -1.7030012905597687, -0.3703705370426178, -1.5086852610111237, 0.24398303031921387, -2.9773042500019073, 2.281532496213913, 0.44493812322616577, 1.9199036359786987, -0.050224016284252083]
Bubble|,|[1.5535499453544617, 5.8177147805690765, 0.12494039535522461, -0.5996263325214386, 0.5242742598056793, 0.6616600453853607, -0.944062352180481, 2.2949641942977905, 0.4357982277870178, -0.8813063204288483, -3.212443709373474, -0.5880769044160843, 0.4796447157859802, 1.6178165078163147, 5.059384971857071, 2.0546186566352844, 2.169483006000519, 2.100668489933014, -0.7344619035720825, 1.4690834879875183, 0.10863712430000305, 4.397386819124222, 3.128472000360489, 2.4548598527908325, -0.9047972559928894, 1.0397971868515015, -1.6182035505771637, -4.17181795835495, -1.9158435463905334, -2.3712004721164703, -0.999239981174469, 1.492915153503418, 1.0210679471492767, -1.9416673183441162, -3.6080832481384277, -0.8821230530738831, 2.8376021087169647, -2.830781579017639, 2.8120055198669434, -1.7963547259569168, 1.1010094732046127, 1.7357080578804016, 4.2474483251571655, 2.6503221690654755, -2.129673719406128, 1.6288705170154572, -2.360335946083069, -0.8329788446426392, -2.0422205924987793, -2.4971664547920227, 0.017724419597628688]
Camping|,|[-0.17064955830574036, 1.4697522819042206, -1.3331430554389954, -5.982677772641182, -2.7984102815389633, 2.072153925895691, -6.996659532189369, 1.992443561553955, -2.8441134095191956, 2.0672138929367065, -0.09412334859371185, 2.465581625699997, 1.842312529683113, 2.380614787340164, -7.208714082837105, -0.6692579686641693, -2.387980818748474, -1.1758207380771637, 5.261198967695236, -6.173730731010437, -3.3194067180156708, -0.49455738067626953, 1.4617043435573578, -2.268120840191841, -0.2354152798652649, -0.007314726710319519, 1.2798304110765457, -2.796982914209366, -3.5794116407632828, -3.9448808431625366, -0.6429796516895294, -2.9025447368621826, -3.2871208786964417, -1.785868525505066, -1.3935077786445618, 4.084896549582481, 0.8737421035766602, -0.23555445671081543, 0.24311165511608124, -4.158218055963516, -7.715447932481766, 2.1477777659893036, -0.19438941776752472, -5.859959125518799, -1.7771785408258438, -3.045781373977661, -2.5993969291448593, -1.8421142995357513, 2.424266591668129, -0.03914639133499525]
Carancho|,|[-8.176885277032852, -4.5787177085876465, 1.6695234775543213, -0.20530754327774048, 1.9611527025699615, 0.809272050857544, -3.8218870013952255, 1.2517884373664856, -5.486323311924934, -5.82903066277504, -1.1552789807319641, -4.461892634630203, -1.230201631784439, -1.3707395195960999, 2.5823420733213425, 2.928064450621605, -2.069604843854904, -0.8608567416667938, -4.026942923665047, -0.09736013412475586, -7.4077534675598145, -4.320082426071167, -5.588358908891678, -4.749457001686096, -3.6506135761737823, -1.420040026307106, 1.8075089156627655, -1.8643752038478851, -5.263676434755325, -5.5354017317295074, -7.041112035512924, -6.488207668066025, -4.267279326915741, 2.6946641206741333, 0.2951402962207794, -0.47180764377117157, -3.0307059586048126, 4.512812495231628, -1.1900519579648972, -1.8133035898208618, -1.2990188598632812, -3.919758975505829, -3.4919846206903458, -6.2924003303050995, -0.18677613139152527, 0.5601642727851868, -1.593232661485672, -5.848285585641861, -2.2830488830804825, -2.341859817504883, -0.08290093978506904]
Dark Places|,|[-0.08736318349838257, 0.08683755993843079, -3.049111068248749, 0.8867221474647522, 0.08016085624694824, -2.5529475808143616, -4.759741261601448, -2.540469706058502, -6.569978192448616, 1.8573329150676727, -6.883117854595184, -2.246037930250168, -1.6873633563518524, -2.0279582738876343, -4.006943881511688, -1.583932876586914, 3.8315834254026413, -5.968935638666153, -3.3248303830623627, -4.646448016166687, -4.943495988845825, 0.12200111150741577, -0.8109165281057358, -0.7672489881515503, -0.6782656013965607, -0.9091493189334869, -4.4667589366436005, -1.6976129114627838, -5.407928287982941, -4.83647808432579, -4.551915839314461, 0.6455905437469482, -5.481394380331039, -4.4059916734695435, -4.544544100761414, 0.9719776809215546, -1.8075795769691467, -2.8250226974487305, -4.56415593624115, -3.459414154291153, -3.8101867139339447, -1.4425728023052216, -2.839556246995926, 0.5670182406902313, -7.531417518854141, -1.7188177704811096, 3.8240345120429993, 1.0193549543619156, -1.1332214772701263, -0.08433848113089265]
Fighting|,|[1.6972892880439758, -6.733153253793716, -6.07877379655838, -2.413272485136986, 0.283582478761673, 2.8073756098747253, -1.976554274559021, 0.7269085943698883, -2.297090858221054, -1.0205158293247223, -1.2789991199970245, -4.257846102118492, 0.611897885799408, -2.0102126747369766, 0.951074406504631, -1.3182561099529266, -3.9777464866638184, 0.5983764827251434, -0.7160218358039856, -2.684664711356163, 2.116435006260872, 5.316445559263229, -0.2616876810789108, 2.149351090192795, -2.5751421749591827, -4.8622622191905975, -6.048338383436203, -3.08834570646286, -2.7531467378139496, 0.6506600379943848, 0.17994242906570435, 1.5590201020240784, -0.06294971704483032, 2.0923684537410736, -1.7307185232639313, -6.950141280889511, -3.620219960808754, -3.3644861578941345, -4.110041126608849, -3.1988534927368164, -1.1281741559505463, -0.21217826008796692, -1.556744635105133, -1.459244191646576, -7.705080538988113, 0.250480592250824, -7.127823814749718, -6.306396126747131, 0.4992820620536804, -0.046056228253080436]
Gabrielle|,|[2.158144384622574, -0.509861022233963, 1.4828750044107437, 0.940476268529892, -1.9345349371433258, -0.9981528520584106, 0.41740456223487854, 0.27522069215774536, -1.8371829092502594, 1.2595439106225967, 1.072648674249649, -2.3181936740875244, -1.469875991344452, -0.5841116309165955, 0.2469049096107483, 2.16692516207695, -2.707970529794693, 0.6242816746234894, -2.2583118975162506, -1.4292115718126297, -2.300240069627762, 1.1892779171466827, -1.185000091791153, 1.6972737908363342, -1.4861984848976135, 2.126151889562607, -1.0924603044986725, -1.9526717960834503, -4.236556887626648, -1.0180671215057373, 0.8321607708930969, -0.8231736421585083, -0.3524293005466461, -2.131194144487381, 1.8004465103149414, 1.453303411602974, -2.0709435492753983, -4.148378610610962, 0.9689429700374603, 0.07087638974189758, -0.17504256963729858, 0.31512588262557983, 4.225087583065033, -1.3963418900966644, 0.7815344035625458, -1.931375503540039, -0.5684664845466614, -2.5980800688266754, 0.16621434688568115, 0.18647167086601257, -3.194331258535385, -0.030904258353014788]
