Adam|,|[5.088321834802628, -0.2992604672908783, 0.4879935681819916, 0.003086656332015991, -0.5515028685331345, -2.3355343341827393, 0.8495583236217499, -1.9645176529884338, -0.8561246246099472, 0.16028434038162231, -0.5433433800935745, 0.2429678738117218, 0.9017487466335297, -2.9662439674139023, -2.659084975719452, -4.71421155333519, 0.11342719197273254, 1.3464102745056152, 1.537745326757431, -3.9073140919208527, -3.6695079505443573, -5.194513708353043, -0.4619036316871643, -1.118049442768097, -2.1892606616020203, -0.49003058671951294, 1.869204118847847, 3.806262820959091, -0.9385713934898376, 4.766275346279144, 1.394074872136116, 1.7226050198078156, 2.577056899666786, 1.5572726428508759, -1.6720585227012634, -4.9568852186203, 0.9137051105499268, 0.5468495488166809, 3.0597951859235764, -4.056449979543686, -1.5891062021255493, -6.2682578563690186, -2.568990170955658, -2.8168791830539703, 0.1259453296661377, 0.5475533306598663, -6.235917076468468, -2.5339681953191757, -0.9317272007465363, 1.4329918026924133, -0.028875715657425256]
Americano|,|[-0.9164815545082092, -0.37160539627075195, 0.8998084366321564, 0.9334377944469452, 0.15741389989852905, 1.9039988815784454, 0.8343560695648193, -0.9025332629680634, -0.23673394322395325, -1.3585025370121002, 0.41601046919822693, 1.1013640761375427, 2.0498753786087036, 2.113206446170807, 0.44306185841560364, 0.7181410491466522, -2.180496633052826, -0.3419017046689987, 1.4885900914669037, 0.6486144661903381, 0.42370063066482544, 1.188368797302246, -3.989206612110138, -1.2104859948158264, -1.4437606930732727, -2.5966793298721313, -2.556323230266571, -0.6763989627361298, -2.108954071998596, -0.46540242433547974, 0.9978405237197876, -2.295274794101715, -3.1250323057174683, 0.7818437814712524, 0.42241257429122925, -2.3446707129478455, -0.8643512427806854, 1.3266738653182983, -0.35434624552726746, 0.7979511022567749, -0.1705942153930664, -1.4980662912130356, 1.8620425462722778, -2.944023996591568, -1.6617585718631744, -3.2119532227516174, -2.3084856271743774, -2.7706539928913116, 0.33873414993286133, 2.4141562581062317, -0.041286148846149444]
Another Happy Day|,|[-2.93916592001915, 0.31144995987415314, -3.6190386712551117, -1.5812797546386719, 0.3540510833263397, -0.0664401650428772, -1.0757767409086227, -2.0553329586982727, -3.125800311565399, 1.6744231581687927, -1.093975991010666, -2.379116430878639, 2.0076973736286163, -1.377476841211319, -3.87900672852993, -4.1262562572956085, -1.7666668891906738, -1.1024589538574219, -0.8190221637487411, -9.813895016908646, -7.326341092586517, 1.8191270530223846, -0.9101835638284683, -4.2513125240802765, -2.8394966423511505, -1.3103205859661102, -1.3174034357070923, -3.8975776731967926, -0.11076498031616211, -3.616989940404892, -0.302261084318161, -2.890723764896393, -1.754145324230194, -0.4531119763851166, 0.4960898458957672, 4.815420985221863, -2.471127152442932, -3.522171676158905, -1.3659651726484299, 2.802055388689041, -1.2450867593288422, -8.772356897592545, -9.59127876162529, -3.978045731782913, 2.455203503370285, -1.7008343935012817, -3.745280086994171, 2.5262447148561478, 4.187888652086258, -0.06057457991205342]
Birth|,|[-1.9843080639839172, -1.4317063391208649, 2.194338172674179, 1.4745729565620422, 2.9017116874456406, 1.5450409054756165, 2.2066010236740112, 1.468398004770279, -1.3467027246952057, 0.08199213445186615, -1.9543403387069702, 2.2656075954437256, -1.4794297814369202, 1.8654406070709229, -1.421002745628357, -1.4907770156860352, -1.9530819356441498, -0.6623154133558273, -0.24445202946662903, -0.45036786794662476, -1.5014732480049133, -1.7229982763528824, 1.0298068821430206, 1.329624891281128, 0.17465180158615112, -0.3317991942167282, 1.9427473545074463, -2.6202473640441895, 0.13562297821044922, -2.530577152967453, -3.7254919707775116, -1.3561183512210846, 1.3125843405723572, -1.2631707787513733, -1.9038168489933014, 1.1628630757331848, -0.4456929862499237, -2.0260742902755737, -0.3311457633972168, 1.8232759237289429, -1.894049882888794, -1.483647644519806, -1.129156619310379, -2.373666912317276, 0.7478514015674591, -1.0286460220813751, -1.4275754690170288, 1.3887462764978409, 2.596376270055771, 1.8696126639842987, -0.018287143420155454]
Bubble|,|[0.9464682638645172, 2.593386858701706, 3.3628489077091217, -1.9549399316310883, 2.3326578438282013, 1.887532651424408, -1.0015172362327576, -0.029738187789916992, 0.5826504230499268, 0.3628915101289749, -1.3992651402950287, -1.5698485970497131, 1.5284112095832825, 1.823199063539505, 2.7557175755500793, 0.772952675819397, 1.6464309692382812, 1.168078452348709, -1.5471295416355133, 0.906895786523819, 0.9257338047027588, 3.1473441421985626, 1.1101579368114471, 3.2815490663051605, -0.8343264162540436, -0.7935345768928528, -0.5531960129737854, -5.964561998844147, -2.3142924904823303, -0.17558541893959045, 0.45746737718582153, 0.29112592339515686, 3.0639273822307587, -3.8030034005641937, -4.4059575498104095, 0.4540439248085022, -0.82771036028862, -3.2027720510959625, 2.5012943744659424, -1.5726387947797775, 0.32473090291023254, 4.177678257226944, -1.1195902824401855, 1.5357543230056763, -0.4941740036010742, 0.23322927951812744, -3.228750169277191, -1.3211571872234344, -2.2493647933006287, -3.159551113843918, 0.0006730925938314643]
Camping|,|[-1.9785015285015106, 2.7994261384010315, -3.772689938545227, -1.6051091700792313, -2.877221331000328, 2.3170875310897827, -6.205471187829971, -0.738979697227478, -1.5554494857788086, 1.9205693900585175, 1.1758791655302048, 3.196896031498909, -0.6080913841724396, 0.7348659187555313, -5.359863579273224, 0.36040252447128296, 0.26764100790023804, 0.8259860873222351, 5.052248686552048, -3.214322119951248, -3.5336743891239166, 0.7244798243045807, -2.546410620212555, -3.750648930668831, 1.0791009217500687, -0.5246934741735458, 2.2166769057512283, -4.692702889442444, -1.4448608756065369, -5.605364546179771, -1.6060883402824402, -2.825060695409775, -3.6278988122940063, -5.012594670057297, -0.660763680934906, 2.0983001589775085, 3.546556308865547, -0.4179706871509552, 0.4812709242105484, -2.527194231748581, -3.588376432657242, 1.0472340881824493, -1.4057358801364899, -4.655796259641647, -3.549975037574768, -3.7144505977630615, -2.484874665737152, -1.9600747376680374, 1.9448795318603516, -0.03679621238151822]
Carancho|,|[-4.737176775932312, -4.672450691461563, 1.26194666326046, -2.7174487709999084, 0.9231317937374115, -1.0238171517848969, -4.564518243074417, 0.5556604564189911, -3.3890060037374496, -5.211756348609924, -2.2372646629810333, -4.66484272480011, -0.6781541407108307, -1.5885060727596283, 3.037554234266281, 0.2930850088596344, -0.044748544692993164, 1.6803307831287384, -3.689072608947754, 0.38003087043762207, -7.754417508840561, -2.933483988046646, 0.4910803288221359, -5.425817370414734, -4.009773626923561, -3.7923573702573776, -1.4760084748268127, 1.4544792473316193, -5.368866860866547, -7.087936609983444, -5.901590645313263, -6.154916673898697, -3.6922135651111603, 4.532281547784805, 0.30995434522628784, 0.5604072511196136, -0.3506128638982773, 4.850993752479553, 2.0652954131364822, -0.7414843440055847, 1.2702222168445587, -2.177135705947876, -4.804531633853912, -7.107417047023773, -1.5771416574716568, 1.8503410518169403, -1.701511725783348, -4.521348685026169, -3.566332370042801, -2.8329023718833923, -0.07051770158660925]
Dark Places|,|[-1.6905902326107025, 1.4715599715709686, 0.02544732391834259, 0.9439121186733246, 2.840601235628128, -0.8310587704181671, -3.5404089391231537, -1.8049374520778656, -4.1983665227890015, -0.17269305884838104, -6.132319509983063, -2.719157040119171, -1.3862628042697906, -1.6541382670402527, -4.42037957906723, -2.5947565138339996, 1.54454505443573, -4.681447893381119, -1.6788560450077057, -5.852624744176865, -4.287598639726639, -0.600545346736908, -2.185654416680336, -1.0740966200828552, -1.302898183465004, 0.09774735569953918, -5.262318268418312, -4.544741719961166, -2.8094709664583206, -4.183640211820602, -4.092363327741623, 0.6893374919891357, -6.825807154178619, -4.328854590654373, -4.36274579167366, -0.5932903289794922, -2.8327936828136444, -2.7328838258981705, -2.133757382631302, -6.449912443757057, -1.9647727608680725, -2.6419266760349274, -1.9792234301567078, -0.0018435865640640259, -6.516628682613373, -2.7321425676345825, 0.04570344090461731, 0.20533503592014313, -3.606453597545624, -0.08648216508016615]
Fighting|,|[1.789211481809616, -7.6757636070251465, -3.366737499833107, -4.146763861179352, -3.2765719443559647, 1.1468888819217682, -1.0929390788078308, -3.0122230052948, -3.78240042924881, -1.5703376978635788, -1.5798443257808685, 0.808218240737915, -0.490893691778183, -1.5431511104106903, -0.012718290090560913, 0.20215561985969543, -2.8078769743442535, 1.2345301508903503, 1.53433957695961, -3.7452239394187927, 1.5486053228378296, 0.6598559021949768, 1.5900958478450775, -0.5225367546081543, 0.8348034918308258, -4.816413179039955, -6.288231283426285, -4.9661222994327545, -0.6388636380434036, -1.6573804318904877, -3.901914268732071, 2.2389957308769226, 0.3536252975463867, 0.4367547929286957, 0.0726231038570404, -7.005633294582367, -4.01694630086422, -2.0691598653793335, -4.785045921802521, -5.949257999658585, -2.201121598482132, -0.7690177857875824, -4.853970587253571, -0.21220111846923828, -7.401377439498901, 2.473159819841385, -6.446748211979866, -1.599558874964714, 1.0482147783041, -0.050437601044765724]
Gabrielle|,|[2.1600369215011597, 1.5788677334785461, -0.3851821720600128, -0.014389127492904663, -2.4382080733776093, 0.7747147679328918, -0.7498555928468704, 0.058321669697761536, -2.1977966725826263, -0.2894505262374878, 0.0041869282722473145, -4.635542631149292, -0.13724935054779053, -1.4098286628723145, 1.5938128978013992, 0.5785456597805023, -1.5499359369277954, 1.0961438715457916, -2.626599758863449, 1.5500050783157349, -0.8691364824771881, -0.5477350354194641, -0.8195322751998901, 2.2469641268253326, -1.3504413068294525, -0.8288705050945282, -1.3329141736030579, 0.22735491394996643, -4.158815860748291, -1.7020930647850037, -0.15121302008628845, -0.6000753045082092, 0.3392566442489624, -1.036369800567627, 0.7872138917446136, 0.20153915882110596, -2.8513814508914948, -1.5107681453227997, -1.592371255159378, -0.7739941477775574, -1.0625197291374207, 0.8096356093883514, 3.217055469751358, 0.5848695039749146, -0.2634240984916687, -1.2268731594085693, -1.9247264564037323, -2.356848806142807, 1.8925838023424149, -0.4915039539337158, -2.453335702419281, -0.036997046652767394]
Golden Door|,|[-2.556162714958191, -2.1084086894989014, -1.0572692155838013, -0.5677864849567413, 0.10538634657859802, 0.9238565266132355, -1.0116374492645264, -3.4057225733995438, 0.8028791844844818, -1.1776119321584702, -2.078594282269478, 0.805613324046135, 0.04292958974838257, -1.7958985269069672, -3.6455157697200775, -1.704041063785553, -2.6317837238311768, -3.421495258808136, -0.45159003138542175, 0.652103453874588, -1.71879343688488, -1.5751595199108124, 0.027430444955825806, 0.9075930118560791, -0.70299232006073, -1.3219099193811417, -2.298000916838646, -2.204064220190048, 0.28492459654808044, -2.0778121948242188, -1.400780588388443, -1.6690049767494202, -0.04701519012451172, -2.6594575345516205, -3.04828417301178, -1.2078170776367188, -0.877998486161232, -0.49142688512802124, -2.021534502506256, -0.4093647003173828, -2.3891800940036774, -0.8322639018297195, -1.9828813672065735, -1.2508443146944046, -1.6970313787460327, 0.03216409683227539, -0.06321343779563904, -0.7460517585277557, -1.3023391962051392, -2.50438392162323, -0.0812790530439727]
GoldenEye|,|[-2.8460871130228043, -4.777258604764938, -1.2064561247825623, -0.7670607417821884, 1.8014221340417862, 0.6542790681123734, 0.9778276979923248, -2.2678697258234024, -6.898450791835785, 1.066787213087082, -0.4500100463628769, -2.7040578424930573, -1.916150987148285, -1.2358224093914032, -0.6809984296560287, -2.7956863343715668, -4.373075008392334, -2.26543328166008, 1.882811039686203, -1.4959114789962769, -1.4273527562618256, 1.558485746383667, -0.8656531721353531, 1.0113328099250793, -1.1575442850589752, 1.7577106356620789, -2.6672753989696503, -1.6530705392360687, -2.2949644923210144, -2.4054828882217407, -0.950954869389534, -1.7230808287858963, -4.866338849067688, -5.410212725400925, -1.9080567359924316, -1.628349855542183, -1.2027171552181244, -3.211793377995491, -0.6814667731523514, -3.293546363711357, -0.3387581706047058, 0.2845558524131775, 1.2791703939437866, -2.8425043523311615, -0.9230427891016006, -1.3636881411075592, -3.1491813212633133, -1.8317310810089111, 0.08387619256973267, -0.07664063449367073]
Hector|,|[3.043376997113228, 0.45294323563575745, -0.2765627056360245, -2.2208024859428406, -0.0851839929819107, -2.853904813528061, 0.4478527307510376, -3.984135866165161, 1.3965581953525543, -2.978057384490967, 3.974032700061798, 0.4453228712081909, 1.4247187972068787, -0.659028172492981, 1.6160492151975632, 1.854299396276474, 1.8193458020687103, 0.7307613492012024, 0.8850177377462387, -0.06859058141708374, -2.989178776741028, 4.041038125753403, 1.6985983848571777, 1.1818470060825348, -2.3520505726337433, 2.114778980612755, 3.5831369757652283, 2.047156423330307, -1.0080261528491974, 0.2719947397708893, -2.3151832818984985, 0.6762760281562805, 2.0097020864486694, -0.04867701232433319, 2.711081027984619, -0.569687008857727, 3.4666722118854523, -3.328925758600235, -2.1809824407100677, -1.970051348209381, -1.1808192431926727, -2.0644406378269196, -1.3299191892147064, -1.4632252007722855, 1.9779524207115173, -0.2502441108226776, -1.9534387588500977, -4.080254346132278, -3.0744011402130127, -0.0016046003892578506]
Hitchcock|,|[-1.1604148745536804, -2.0790478587150574, 0.5440686345100403, 1.8857744336128235, 2.293565511703491, 0.9353636056184769, 0.24728289246559143, 0.007735908031463623, -0.582860678434372, -1.9096198678016663, -3.334834098815918, -3.2963297963142395, 1.0075751841068268, -1.3740801811218262, -3.039802700281143, -0.03942146897315979, 0.17675909399986267, 2.640145480632782, 1.136820137500763, -0.47138267755508423, -0.7237741947174072, 3.700838565826416, 0.7773115187883377, 1.2162498235702515, 2.9381266236305237, 1.4871338605880737, 1.2417762279510498, 1.269301950931549, 0.22643327713012695, -1.7908757030963898, -0.36219167709350586, 0.3866010010242462, 0.9176290929317474, -2.6122045814990997, -4.097088783979416, -3.1396927684545517, 0.9964876472949982, 2.5322193801403046, -0.12960803508758545, 0.9355224817991257, 1.4241654872894287, -0.271902471780777, -0.982946515083313, -1.2439438998699188, -0.996809259057045, 0.09962934255599976, 0.9327059686183929, 0.5939089953899384, 2.776929020881653, 0.0017114782737985088]
JFK|,|[-9.759025752544403, -11.110089883208275, -6.741616070270538, -1.5736442357301712, -3.6456898748874664, -5.183244824409485, -10.210008084774017, -4.694415986537933, -7.5731509774923325, -4.656686797738075, -6.859866142272949, -3.0814834535121918, -3.6804892271757126, -6.6288855373859406, -3.476101204752922, -7.166559636592865, -5.73050157725811, -7.9236882627010345, -10.840651407837868, -6.375026673078537, -9.019034206867218, 1.375624418258667, -8.32258716225624, -6.9732266664505005, -4.548380061984062, -7.1212775111198425, -3.7919147610664368, -3.264265328645706, -7.975740060210228, -4.509994387626648, -9.189241886138916, -9.235508531332016, -4.465515464544296, -11.392663329839706, -5.353016421198845, -9.886840045452118, -6.1996114403009415, -7.033072531223297, -9.812496483325958, -8.456676185131073, -6.467461705207825, -8.229976043105125, -9.351948291063309, -10.421906977891922, -9.948146104812622, -5.062979578971863, -14.310119718313217, -9.40913900732994, -10.318121612071991, -3.3771691024303436, -0.136215156829748]
Jackie|,|[-1.8969745337963104, 2.0924504101276398, 1.036312848329544, 0.5346019566059113, 5.083332002162933, 1.7480984926223755, 2.320001021027565, -0.9804525971412659, 1.494126319885254, 0.3771904408931732, -0.6943417489528656, 0.39714372158050537, 1.2922646701335907, 0.2758024334907532, 1.90632164478302, 1.88490991294384, -2.510142669081688, 1.3385729789733887, -2.5357520431280136, -0.027576476335525513, -2.812309190630913, -0.6902069747447968, -2.090321660041809, -0.587978720664978, 2.577004462480545, 2.2444944381713867, 0.8858546316623688, 1.1678219735622406, 2.9913083910942078, -2.1598086655139923, -0.5724274814128876, -1.720512479543686, -0.08758509159088135, 3.8113844245672226, -4.5265529453754425, -3.8614251166582108, 2.6483146250247955, -1.1416546404361725, -2.959218978881836, -1.5253727734088898, 2.189574360847473, -1.069691777229309, 1.7605275511741638, -3.300174742937088, 1.3425739258527756, 1.2836084514856339, 1.8317420184612274, 2.262773782014847, 2.8332900255918503, 0.014824514019298043]
Margaret|,|[-4.19399020075798, 1.5552610009908676, -0.5638576000928879, -2.944513648748398, -8.582687199115753, -0.11210593581199646, -3.850613385438919, 7.837880492210388, 0.41765378415584564, -7.589221715927124, -11.03355585038662, 5.580786943435669, 5.3250439167022705, -1.861847996711731, -4.486348360776901, -4.827565133571625, 5.116244852542877, 6.603762120008469, -0.5688487589359283, 2.414276123046875, -4.128479868173599, 3.478600323200226, 0.16674968600273132, -4.985992610454559, -6.598959863185883, -7.123893886804581, -5.397629275918007, -0.8189225941896439, -3.4255224764347076, -4.872427821159363, -0.45222732424736023, -7.155261665582657, -3.2973791360855103, -5.180721431970596, -5.56069678068161, -4.168474063277245, 0.30350352823734283, -0.5012055337429047, 1.6342199742794037, -3.20999675989151, -10.072211891412735, -0.8871105313301086, -3.5937177538871765, -8.114310577511787, -6.685660660266876, 0.9598607122898102, 4.291644245386124, -3.9923642724752426, -8.338110789656639, -0.04760526243797285]
