Adam|,|[-2.158243089914322, -2.9976249039173126, -5.362435907125473, -0.6589344888925552, -5.147567480802536, -6.149312973022461, -4.5121471881866455, -4.933191388845444, -4.1218840181827545, -5.634509444236755, -4.488188952207565, -3.1126924753189087, -2.153969258069992, -7.0867640376091, -6.341236650943756, -3.6027225703001022, -3.013096958398819, -3.256661832332611, -4.509980380535126, -7.502087950706482, -4.160076141357422, -8.318893998861313, -7.506678462028503, -6.364797830581665, -6.3845318257808685, -4.955853819847107, -7.446352809667587, -2.773149847984314, -3.1743783950805664, -1.465281069278717, -1.9158009886741638, -4.6722597777843475, -0.5734703838825226, -4.202819377183914, -6.709530860185623, -7.423212110996246, -2.423224598169327, -3.9443895518779755, -2.5676341354846954, -7.440699487924576, -5.309701055288315, -6.346973404288292, -5.5548093020915985, -5.633317559957504, -5.169852197170258, -4.714311003684998, -7.225118309259415, -6.983325242996216, -5.035732299089432, -3.694748193025589, -0.20452001380745405]
Americano|,|[-0.47077271342277527, -1.9306262731552124, -2.089836359024048, -1.425667256116867, -1.7729370594024658, -1.4225367158651352, -2.2390154004096985, -3.199989974498749, -2.428682029247284, -3.671498715877533, -3.4424443542957306, -1.5014229118824005, -1.4718537032604218, 0.13538658618927002, -2.493940770626068, -0.43127474188804626, -2.3425224125385284, -4.0390782952308655, -0.020177513360977173, -2.4080858528614044, -1.3399933874607086, -1.067358136177063, -3.470469683408737, -1.8013512194156647, -1.7283937335014343, -3.5634147822856903, -3.479677826166153, -3.998870372772217, -3.425642043352127, -1.578781396150589, -1.1367347836494446, -3.414792478084564, -3.2937109768390656, -0.6690870821475983, -1.635028898715973, -3.7698558568954468, -1.8555733859539032, -0.2670135498046875, -0.6437742114067078, -1.1998956501483917, -3.6556097269058228, -2.3371591567993164, -3.051618278026581, -3.9851676523685455, -3.8238996267318726, -4.163648277521133, -2.49713397026062, -3.7995097935199738, -1.068122923374176, 0.08952410519123077, -0.22059748244285585]
Another Happy Day|,|[-6.954975336790085, -4.965239495038986, -6.461795881390572, -4.657094746828079, -6.513071238994598, -4.398313224315643, -3.770671561360359, -5.675364464521408, -8.972236096858978, -6.786945998668671, -8.172110319137573, -4.984637379646301, -2.8253029584884644, -8.1325543820858, -4.590754002332687, -4.065976679325104, -6.620662689208984, -9.11504653096199, -6.64565497636795, -8.8126762509346, -9.083766669034958, -4.330347627401352, -4.84449976682663, -7.813832759857178, -8.618024051189423, -8.412022888660431, -1.815610021352768, -9.711866736412048, -5.059549003839493, -8.146185725927353, -4.558313965797424, -8.988133400678635, -7.816374450922012, -9.102814465761185, -4.881994158029556, -5.770430579781532, -7.253251552581787, -5.941874653100967, -5.333841860294342, -4.569770812988281, -7.423438847064972, -8.092862695455551, -7.3297639191150665, -7.706622451543808, -4.087079882621765, -4.214096233248711, -8.866101324558258, -3.121999755501747, -4.129280924797058, -0.2216903755522524]
Birth|,|[-4.594676449894905, -4.129267573356628, -1.108943611383438, -2.7980277240276337, 0.24804675579071045, -0.6264760494232178, -0.5335330367088318, -1.0970827043056488, -5.132085770368576, -3.3430966287851334, -3.938265711069107, -3.410360336303711, -4.585611924529076, -2.646955654025078, -2.400803178548813, -4.659308165311813, -4.879287779331207, -2.3925867527723312, -2.532478541135788, -4.117780089378357, -3.189520448446274, -4.0560168623924255, -2.640845537185669, -1.3563554883003235, -2.4373819530010223, -3.005015879869461, -3.988495260477066, -3.9435578733682632, -1.5511051416397095, -4.146496057510376, -5.267014563083649, -2.7054793536663055, 0.2740943431854248, -2.090694636106491, -2.572536528110504, -2.58229598402977, -3.547285318374634, -3.746460884809494, -2.5095497518777847, 0.5960031151771545, -2.819858103990555, -4.807009398937225, -3.5129136741161346, -3.5021788477897644, -2.1079667806625366, -0.38204967975616455, -3.9827606678009033, 0.36557838320732117, 0.4946044981479645, 0.2749474346637726, -0.20293322839297173]
Bubble|,|[-3.2986870408058167, -2.5860310196876526, -0.6638804078102112, -5.832098543643951, -3.3822773098945618, -1.127872794866562, -2.3833115696907043, -3.5625177323818207, -4.7621631026268005, -4.270478069782257, -5.31490620970726, -4.074413418769836, -1.240483969449997, -1.6850734949111938, -0.7075565159320831, -4.156684309244156, -3.087976396083832, 0.5667071342468262, -4.885309964418411, -2.6824917793273926, -3.9280505180358887, -2.565029561519623, -2.471206158399582, -1.5018007457256317, -3.80773064494133, -0.4860210716724396, -4.1780103743076324, -6.2223963141441345, -2.223641574382782, -5.248407751321793, -2.2175196707248688, -3.3733862936496735, -4.422078937292099, -7.062614589929581, -5.454805821180344, -5.314480841159821, -6.566332966089249, -7.145158469676971, -3.396663576364517, -4.1000451147556305, -3.9998816549777985, -1.0765897035598755, -3.4712331295013428, -2.423601746559143, -6.778878271579742, -6.73746594786644, -4.107017204165459, -3.3021258264780045, -4.062092438340187, -6.099732965230942, -0.18892717603132253]
Camping|,|[-6.572798624634743, -0.9930667281150818, -3.1674420833587646, -2.5219954401254654, -7.405731216073036, -4.427504390478134, -8.58190655708313, -3.933602035045624, -5.487476944923401, -3.5121470391750336, -3.6499374210834503, -2.687106892466545, -4.0778342336416245, -4.326031059026718, -7.411029696464539, -2.814538598060608, -7.57768988609314, -7.665993615984917, -0.8796909898519516, -8.610991418361664, -6.535706013441086, -2.4437630772590637, -4.232753247022629, -7.802811414003372, -6.344260185956955, -5.399170875549316, -6.331334605813026, -5.365711137652397, -7.555539965629578, -9.12071868777275, -4.787909522652626, -7.106986850500107, -9.808105379343033, -8.91017097234726, -8.740800827741623, -2.209172859787941, -1.9754784107208252, -3.8980436623096466, -6.541102483868599, -6.975489094853401, -8.315685510635376, -2.7181672155857086, -6.702690452337265, -8.730470925569534, -7.08805413544178, -5.335586369037628, -9.102540522813797, -7.258886933326721, -5.305904299020767, -0.18243788784044565]
Carancho|,|[-8.776850879192352, -8.029535412788391, -5.832346320152283, -6.492172181606293, -3.6259464025497437, -5.428336471319199, -8.099946469068527, -6.715616524219513, -6.034197121858597, -8.470540046691895, -3.9075903594493866, -8.657720178365707, -4.471216678619385, -4.765395611524582, -4.050888150930405, -6.3290345668792725, -7.946976691484451, -6.227965861558914, -10.394789397716522, -5.144681558012962, -10.41887441277504, -8.419604659080505, -5.185865551233292, -8.986163765192032, -6.93138188123703, -5.398199498653412, -7.377405762672424, -6.190578401088715, -10.413825571537018, -9.428006753325462, -9.955075740814209, -6.793339669704437, -5.078412264585495, -5.084227651357651, -4.396667912602425, -7.453571081161499, -6.8706642389297485, -1.8766632676124573, -2.8386406302452087, -5.76212203502655, -5.571651577949524, -7.393619239330292, -8.585921823978424, -9.974201202392578, -4.602011114358902, -3.423120826482773, -5.753993391990662, -8.959448456764221, -8.779973149299622, -9.768441498279572, -0.24585953312447087]
Dark Places|,|[-5.986407056450844, -3.6923020780086517, -3.4841904044151306, -7.277330711483955, -4.471765324473381, -3.221662998199463, -8.832290321588516, -7.5187414437532425, -7.438461318612099, -8.210982888936996, -7.96384671330452, -4.297966569662094, -2.4391157925128937, -6.106871008872986, -7.6536597311496735, -7.580148935317993, -3.49153995513916, -8.23368376493454, -5.811135709285736, -11.289658606052399, -7.055057674646378, -6.890670746564865, -4.439752012491226, -7.7475117444992065, -8.045597791671753, -6.506257504224777, -7.747031420469284, -6.415916457772255, -8.614160388708115, -7.54885621368885, -6.970643252134323, -5.511069983243942, -8.418199300765991, -10.124498575925827, -7.368997424840927, -4.804407984018326, -7.223510295152664, -6.15452253818512, -7.62859034538269, -6.678916305303574, -9.264312028884888, -3.866304725408554, -3.99750754237175, -6.653975129127502, -9.222024917602539, -6.361105293035507, -2.899699568748474, -4.716673389077187, -6.452293425798416, -0.23976783331728982]
Fighting|,|[-5.252148389816284, -8.632439911365509, -9.702055990695953, -9.524718821048737, -9.142451897263527, -6.609480410814285, -8.267781376838684, -5.316413044929504, -8.883031144738197, -7.535233303904533, -10.101432263851166, -7.84629762172699, -4.599872872233391, -3.0335819721221924, -5.4102519154548645, -4.363738536834717, -10.57994781434536, -5.191946387290955, -8.873353287577629, -7.2086967676877975, -7.168281555175781, -4.031200423836708, -6.821336001157761, -4.453896313905716, -7.946636438369751, -9.33496829867363, -8.956700205802917, -10.090429127216339, -6.3880660235881805, -7.965537399053574, -11.033851683139801, -6.916003942489624, -8.361316174268723, -6.757488429546356, -10.201013386249542, -9.158980578184128, -6.027801543474197, -6.249643921852112, -6.512368083000183, -9.862295970320702, -7.4329404681921005, -8.113869696855545, -6.268036842346191, -8.699491620063782, -8.738365694880486, -4.228561103343964, -8.498528242111206, -7.238359957933426, -4.472431987524033, -0.20346745379714742]
Gabrielle|,|[-1.7158323526382446, 0.812492698431015, -3.123933732509613, -3.118305951356888, -3.5177026093006134, -2.445151686668396, -1.5768792480230331, -2.2195637822151184, -4.9900935888290405, -4.204117298126221, -1.4399448037147522, -5.869422018527985, -5.099256724119186, -3.217255264520645, -3.328754708170891, -2.056241065263748, -5.008285701274872, -4.728965640068054, -5.020905315876007, -2.442347377538681, -3.6139574348926544, -2.8604356944561005, -2.838590830564499, -3.942235827445984, -3.7833975553512573, -3.732758402824402, -3.356042429804802, -0.8160510957241058, -4.440724045038223, -3.698211446404457, -4.446387439966202, -4.0192855298519135, -0.5992520749568939, -5.290832102298737, -2.95477831363678, -5.328911691904068, -4.4139324426651, -2.5852948129177094, -4.405379116535187, -2.552224814891815, -1.9120071977376938, -3.080252915620804, 1.4045753180980682, -1.3606803268194199, -4.681000381708145, -2.5664421916007996, -3.392498552799225, -3.553767681121826, -1.9673353135585785, -2.9085188806056976, -4.366017192602158, -0.22551818692849743]
